# Generated by Autoplot on Fri Nov 06 12:43:43 CST 2020
time(UTC), data1(eV), data2(cm), data3
2015-01-01T00:57:00.000Z,  1.132e-09,   0.900, on1
2015-01-01T00:58:00.000Z, -1.650e-08,   0.933, on1
2015-01-01T00:59:00.000Z, -3.435e-08,   0.967, on1
2015-01-01T01:00:00.000Z, -4.345e-08,   1.000, on1
2015-01-01T01:01:00.000Z, -3.492e-08,   1.033, on1
2015-01-01T01:02:00.000Z, -4.509e-09,   1.067, on1
2015-01-01T01:03:00.000Z,  4.301e-08,   1.100, on1
2015-01-01T01:04:00.000Z,  9.185e-08,   1.133, on1
2015-01-01T01:05:00.000Z,  1.179e-07,   1.167, on1
2015-01-01T01:06:00.000Z,  9.691e-08,   1.200, on1
2015-01-01T01:07:00.000Z,  1.658e-08,   1.233, on1
2015-01-01T01:08:00.000Z, -1.112e-07,   1.267, on1
2015-01-01T01:09:00.000Z, -2.449e-07,   1.300, on1
2015-01-01T01:10:00.000Z, -3.197e-07,   1.333, on1
2015-01-01T01:11:00.000Z, -2.692e-07,   1.367, on1
2015-01-01T01:12:00.000Z, -5.816e-08,   1.400, on1
2015-01-01T01:13:00.000Z,  2.848e-07,   1.433, on1
2015-01-01T01:14:00.000Z,  6.506e-07,   1.467, on1
2015-01-01T01:15:00.000Z,  8.658e-07,   1.500, on1
2015-01-01T01:16:00.000Z,  7.489e-07,   1.533, on1
2015-01-01T01:17:00.000Z,  1.980e-07,   1.567, on1
2015-01-01T01:18:00.000Z, -7.197e-07,   1.600, on1
2015-01-01T01:19:00.000Z, -1.720e-06,   1.633, on1
2015-01-01T01:20:00.000Z, -2.340e-06,   1.667, on1
2015-01-01T01:21:00.000Z, -2.085e-06,   1.700, on1
2015-01-01T01:22:00.000Z, -6.602e-07,   1.733, on1
2015-01-01T01:23:00.000Z,  1.785e-06,   1.767, on1
2015-01-01T01:24:00.000Z,  4.519e-06,   1.800, on1
2015-01-01T01:25:00.000Z,  6.311e-06,   1.833, on1
2015-01-01T01:26:00.000Z,  5.812e-06,   1.867, on1
2015-01-01T01:27:00.000Z,  2.170e-06,   1.900, on1
2015-01-01T01:28:00.000Z, -4.311e-06,   1.933, on1
2015-01-01T01:29:00.000Z, -1.177e-05,   1.967, on1
2015-01-01T01:30:00.000Z, -1.695e-05,   2.000, on1
2015-01-01T01:31:00.000Z, -1.621e-05,   2.033, on1
2015-01-01T01:32:00.000Z, -7.060e-06,   2.067, on1
2015-01-01T01:33:00.000Z,  9.985e-06,   2.100, on1
2015-01-01T01:34:00.000Z,  3.026e-05,   2.133, on1
2015-01-01T01:35:00.000Z,  4.531e-05,   2.167, on1
2015-01-01T01:36:00.000Z,  4.520e-05,   2.200, on1
2015-01-01T01:37:00.000Z,  2.279e-05,   2.233, on1
2015-01-01T01:38:00.000Z, -2.154e-05,   2.267, on1
2015-01-01T01:39:00.000Z, -7.644e-05,   2.300, on1
2015-01-01T01:40:00.000Z, -1.201e-04,   2.333, on1
2015-01-01T01:41:00.000Z, -1.259e-04,   2.367, on1
2015-01-01T01:42:00.000Z, -7.307e-05,   2.400, on1
2015-01-01T01:43:00.000Z,  4.022e-05,   2.433, on1
2015-01-01T01:44:00.000Z,  1.876e-04,   2.467, on1
2015-01-01T01:45:00.000Z,  3.141e-04,   2.500, on1
2015-01-01T01:46:00.000Z,  3.489e-04,   2.533, on1
2015-01-01T01:47:00.000Z,  2.329e-04,   2.567, on1
2015-01-01T01:48:00.000Z, -4.884e-05,   2.600, on1
2015-01-01T01:49:00.000Z, -4.391e-04,   2.633, on1
2015-01-01T01:50:00.000Z, -8.033e-04,   2.667, on1
2015-01-01T01:51:00.000Z, -9.583e-04,   2.700, on1
2015-01-01T01:52:00.000Z, -7.359e-04,   2.733, on1
2015-01-01T01:53:00.000Z, -6.793e-05,   2.767, on1
2015-01-01T01:54:00.000Z,  9.383e-04,   2.800, on1
2015-01-01T01:55:00.000Z,  1.973e-03,   2.833, on1
2015-01-01T01:56:00.000Z,  2.578e-03,   2.867, on1
2015-01-01T01:57:00.000Z,  2.290e-03,   2.900, on1
2015-01-01T01:58:00.000Z,  8.459e-04,   2.933, on1
2015-01-01T01:59:00.000Z, -1.618e-03,   2.967, on1
2015-01-01T02:00:00.000Z, -4.463e-03,   3.000, on1
2015-01-01T02:01:00.000Z, -6.623e-03,   3.033, on1
2015-01-01T02:02:00.000Z, -6.893e-03,   3.067, on1
2015-01-01T02:03:00.000Z, -4.383e-03,   3.100, on1
2015-01-01T02:04:00.000Z,  9.987e-04,   3.133, on1
2015-01-01T02:05:00.000Z,  8.222e-03,   3.167, on1
2015-01-01T02:06:00.000Z,  1.516e-02,   3.200, on1
2015-01-01T02:07:00.000Z,  1.907e-02,   3.233, on1
2015-01-01T02:08:00.000Z,  1.740e-02,   3.267, on1
2015-01-01T02:09:00.000Z,  8.846e-03,   3.300, on1
2015-01-01T02:10:00.000Z, -5.911e-03,   3.333, on1
2015-01-01T02:11:00.000Z, -2.396e-02,   3.367, on1
2015-01-01T02:12:00.000Z, -4.068e-02,   3.400, on1
2015-01-01T02:13:00.000Z, -5.096e-02,   3.433, on1
2015-01-01T02:14:00.000Z, -5.073e-02,   3.467, on1
2015-01-01T02:15:00.000Z, -3.825e-02,   3.500, on1
2015-01-01T02:16:00.000Z, -1.477e-02,   3.533, on1
2015-01-01T02:17:00.000Z,  1.596e-02,   3.567, on1
2015-01-01T02:18:00.000Z,  4.878e-02,   3.600, on1
2015-01-01T02:19:00.000Z,  7.881e-02,   3.633, on1
2015-01-01T02:20:00.000Z,  1.027e-01,   3.667, on1
2015-01-01T02:21:00.000Z,  1.192e-01,   3.700, on1
2015-01-01T02:22:00.000Z,  1.291e-01,   3.733, on1
2015-01-01T02:23:00.000Z,  1.339e-01,   3.767, on1
2015-01-01T02:24:00.000Z,  1.353e-01,   3.800, on1
2015-01-01T02:25:00.000Z,  1.339e-01,   3.833, on1
2015-01-01T02:26:00.000Z,  1.291e-01,   3.867, on1
2015-01-01T02:27:00.000Z,  1.192e-01,   3.900, on1
2015-01-01T02:28:00.000Z,  1.027e-01,   3.933, on1
2015-01-01T02:29:00.000Z,  7.881e-02,   3.967, on1
2015-01-01T02:30:00.000Z,  4.878e-02,   4.000, on1
2015-01-01T02:31:00.000Z,  1.596e-02,   4.033, on1
2015-01-01T02:32:00.000Z, -1.477e-02,   4.067, on1
2015-01-01T02:33:00.000Z, -3.825e-02,   4.100, on1
2015-01-01T02:34:00.000Z, -5.073e-02,   4.133, on1
2015-01-01T02:35:00.000Z, -5.096e-02,   4.167, on1
2015-01-01T02:36:00.000Z, -4.068e-02,   4.200, on1
2015-01-01T02:37:00.000Z, -2.396e-02,   4.233, on1
2015-01-01T02:38:00.000Z, -5.911e-03,   4.267, on1
2015-01-01T02:39:00.000Z,  8.846e-03,   4.300, on1
2015-01-01T02:40:00.000Z,  1.740e-02,   4.333, on1
2015-01-01T02:41:00.000Z,  1.907e-02,   4.367, on1
2015-01-01T02:42:00.000Z,  1.516e-02,   4.400, on1
2015-01-01T02:43:00.000Z,  8.222e-03,   4.433, on1
2015-01-01T02:44:00.000Z,  9.987e-04,   4.467, on1
2015-01-01T02:45:00.000Z, -4.383e-03,   4.500, on1
2015-01-01T02:46:00.000Z, -6.893e-03,   4.533, on1
2015-01-01T02:47:00.000Z, -6.623e-03,   4.567, on1
2015-01-01T02:48:00.000Z, -4.463e-03,   4.600, on1
2015-01-01T02:49:00.000Z, -1.618e-03,   4.633, on1
2015-01-01T02:50:00.000Z,  8.459e-04,   4.667, on1
2015-01-01T02:51:00.000Z,  2.290e-03,   4.700, on1
2015-01-01T02:52:00.000Z,  2.578e-03,   4.733, on1
2015-01-01T02:53:00.000Z,  1.973e-03,   4.767, on1
2015-01-01T02:54:00.000Z,  9.383e-04,   4.800, on1
2015-01-01T02:55:00.000Z, -6.793e-05,   4.833, on1
2015-01-01T02:56:00.000Z, -7.359e-04,   4.867, on1
2015-01-01T02:57:00.000Z, -9.583e-04,   4.900, on1
2015-01-01T02:58:00.000Z, -8.033e-04,   4.933, on1
2015-01-01T02:59:00.000Z, -4.391e-04,   4.967, on1
2015-01-01T03:00:00.000Z, -4.884e-05,   5.000, on1
2015-01-01T03:01:00.000Z,  2.329e-04,   5.033, on1
2015-01-01T03:02:00.000Z,  3.489e-04,   5.067, on1
2015-01-01T03:03:00.000Z,  3.141e-04,   5.100, on1
2015-01-01T03:04:00.000Z,  1.876e-04,   5.133, on1
2015-01-01T03:05:00.000Z,  4.022e-05,   5.167, on1
2015-01-01T03:06:00.000Z, -7.307e-05,   5.200, on1
2015-01-01T03:07:00.000Z, -1.259e-04,   5.233, on1
2015-01-01T03:08:00.000Z, -1.201e-04,   5.267, on1
2015-01-01T03:09:00.000Z, -7.644e-05,   5.300, on1
2015-01-01T03:10:00.000Z, -2.154e-05,   5.333, on1
2015-01-01T03:11:00.000Z,  2.279e-05,   5.367, on1
2015-01-01T03:12:00.000Z,  4.520e-05,   5.400, on1
2015-01-01T03:13:00.000Z,  4.531e-05,   5.433, on1
2015-01-01T03:14:00.000Z,  3.026e-05,   5.467, on1
2015-01-01T03:15:00.000Z,  9.985e-06,   5.500, on1
2015-01-01T03:16:00.000Z, -7.060e-06,   5.533, on1
2015-01-01T03:17:00.000Z, -1.621e-05,   5.567, on1
2015-01-01T03:18:00.000Z, -1.695e-05,   5.600, on1
2015-01-01T03:19:00.000Z, -1.177e-05,   5.633, on1
2015-01-01T03:20:00.000Z, -4.311e-06,   5.667, on1
2015-01-01T03:21:00.000Z,  2.170e-06,   5.700, on1
2015-01-01T03:22:00.000Z,  5.812e-06,   5.733, on1
2015-01-01T03:23:00.000Z,  6.311e-06,   5.767, on1
2015-01-01T03:24:00.000Z,  4.519e-06,   5.800, on1
2015-01-01T03:25:00.000Z,  1.785e-06,   5.833, on1
2015-01-01T03:26:00.000Z, -6.602e-07,   5.867, on1
2015-01-01T03:27:00.000Z, -2.085e-06,   5.900, on1
2015-01-01T03:28:00.000Z, -2.340e-06,   5.933, on1
2015-01-01T03:29:00.000Z, -1.720e-06,   5.967, on1
2015-01-01T03:30:00.000Z, -7.197e-07,   6.000, on1
2015-01-01T03:31:00.000Z,  1.980e-07,   6.033, on1
2015-01-01T03:32:00.000Z,  7.489e-07,   6.067, on1
2015-01-01T03:33:00.000Z,  8.658e-07,   6.100, on1
2015-01-01T03:34:00.000Z,  6.506e-07,   6.133, on1
2015-01-01T03:35:00.000Z,  2.848e-07,   6.167, on1
2015-01-01T03:36:00.000Z, -5.816e-08,   6.200, on1
2015-01-01T03:37:00.000Z, -2.692e-07,   6.233, on1
2015-01-01T03:38:00.000Z, -3.197e-07,   6.267, on1
2015-01-01T03:39:00.000Z, -2.449e-07,   6.300, on1
2015-01-01T03:40:00.000Z, -1.112e-07,   6.333, on1
2015-01-01T03:41:00.000Z,  1.658e-08,   6.367, on1
2015-01-01T03:42:00.000Z,  9.691e-08,   6.400, on1
2015-01-01T03:43:00.000Z,  1.179e-07,   6.433, on1
2015-01-01T03:44:00.000Z,  9.185e-08,   6.467, on1
2015-01-01T03:45:00.000Z,  4.301e-08,   6.500, on1
2015-01-01T03:46:00.000Z, -4.509e-09,   6.533, on1
2015-01-01T03:47:00.000Z, -3.492e-08,   6.567, on1
2015-01-01T03:48:00.000Z, -4.345e-08,   6.600, on1
2015-01-01T03:49:00.000Z, -3.435e-08,   6.633, on1
2015-01-01T03:50:00.000Z, -1.650e-08,   6.667, on1
2015-01-01T03:51:00.000Z,  1.132e-09,   6.700, on1
2015-01-01T03:52:00.000Z,  1.260e-08,   6.733, on1
2015-01-01T03:53:00.000Z,  1.600e-08,   6.767, on1
2015-01-01T03:54:00.000Z,  1.282e-08,   6.800, on1
2015-01-01T03:55:00.000Z,  6.294e-09,   6.833, on1
2015-01-01T03:56:00.000Z, -2.410e-10,   6.867, on1
2015-01-01T03:57:00.000Z, -4.550e-09,   6.900, on1
2015-01-01T03:58:00.000Z, -5.889e-09,   6.933, on1
2015-01-01T03:59:00.000Z, -4.773e-09,   6.967, on1
2015-01-01T04:00:00.000Z, -2.389e-09,   7.000, on1
2015-01-01T04:01:00.000Z,  3.002e-11,   7.033, on1
2015-01-01T04:02:00.000Z,  1.645e-09,   7.067, on1
2015-01-01T04:03:00.000Z,  2.166e-09,   7.100, on1
2015-01-01T04:04:00.000Z,  1.775e-09,   7.133, on1
2015-01-01T04:05:00.000Z,  9.034e-10,   7.167, on1
2015-01-01T04:06:00.000Z,  8.641e-12,   7.200, on1
2015-01-01T04:07:00.000Z, -5.953e-10,   7.233, on1
2015-01-01T04:08:00.000Z, -7.968e-10,   7.267, on1
2015-01-01T04:09:00.000Z, -6.590e-10,   7.300, on1
2015-01-01T04:10:00.000Z, -3.405e-10,   7.333, on1
2015-01-01T04:11:00.000Z, -9.811e-12,   7.367, on1
2015-01-01T04:12:00.000Z,  2.156e-10,   7.400, on1
2015-01-01T04:13:00.000Z,  2.930e-10,   7.433, on1
2015-01-01T04:14:00.000Z,  2.445e-10,   7.467, on1
2015-01-01T04:15:00.000Z,  1.280e-10,   7.500, on1
2015-01-01T04:16:00.000Z,  5.851e-12,   7.533, on1
2015-01-01T04:17:00.000Z, -7.816e-11,   7.567, on1
2015-01-01T04:18:00.000Z, -1.077e-10,   7.600, on1
2015-01-01T04:19:00.000Z, -9.061e-11,   7.633, on1
2015-01-01T04:20:00.000Z, -4.800e-11,   7.667, on1
2015-01-01T04:21:00.000Z, -2.913e-12,   7.700, on1
2015-01-01T04:22:00.000Z,  2.836e-11,   7.733, on1
2015-01-01T04:23:00.000Z,  3.961e-11,   7.767, on1
2015-01-01T04:24:00.000Z,  3.356e-11,   7.800, on1
2015-01-01T04:25:00.000Z,  1.797e-11,   7.833, on1
2015-01-01T04:26:00.000Z,  1.330e-12,   7.867, on1
2015-01-01T04:27:00.000Z, -1.030e-11,   7.900, on1
2015-01-01T04:28:00.000Z, -1.456e-11,   7.933, on1
2015-01-01T04:29:00.000Z, -1.242e-11,   7.967, on1
2015-01-01T04:30:00.000Z, -6.715e-12,   8.000, on1
2015-01-01T04:31:00.000Z, -5.776e-13,   8.033, on1
2015-01-01T04:32:00.000Z,  3.740e-12,   8.067, on1
2015-01-01T04:33:00.000Z,  5.352e-12,   8.100, on1
2015-01-01T04:34:00.000Z,  4.594e-12,   8.133, on1
2015-01-01T04:35:00.000Z,  2.506e-12,   8.167, on1
2015-01-01T04:36:00.000Z,  2.427e-13,   8.200, on1
2015-01-01T04:37:00.000Z, -1.360e-12,   8.233, on1
2015-01-01T04:38:00.000Z, -1.967e-12,   8.267, on1
2015-01-01T04:39:00.000Z, -1.699e-12,   8.300, on1
2015-01-01T04:40:00.000Z, -9.340e-13,   8.333, on1
2015-01-01T04:41:00.000Z, -9.962e-14,   8.367, on1
2015-01-01T04:42:00.000Z,  4.946e-13,   8.400, on1
2015-01-01T04:43:00.000Z,  7.231e-13,   8.433, on1
2015-01-01T04:44:00.000Z,  6.277e-13,   8.467, on1
2015-01-01T04:45:00.000Z,  3.477e-13,   8.500, on1
2015-01-01T04:46:00.000Z,  4.020e-14,   8.533, on1
2015-01-01T04:47:00.000Z, -1.800e-13,   8.567, on1
2015-01-01T04:48:00.000Z, -2.658e-13,   8.600, on1
2015-01-01T04:49:00.000Z, -2.319e-13,   8.633, on1
2015-01-01T04:50:00.000Z, -1.293e-13,   8.667, on1
2015-01-01T04:51:00.000Z, -1.601e-14,   8.700, on1
2015-01-01T04:52:00.000Z,  6.554e-14,   8.733, on1
2015-01-01T04:53:00.000Z,  9.769e-14,   8.767, on1
2015-01-01T04:54:00.000Z,  8.564e-14,   8.800, on1
2015-01-01T04:55:00.000Z,  4.807e-14,   8.833, on1
2015-01-01T04:56:00.000Z,  6.314e-15,   8.867, on1
2015-01-01T04:57:00.000Z, -2.387e-14,   8.900, on1
2015-01-01T04:58:00.000Z, -3.591e-14,   8.933, on1
2015-01-01T04:59:00.000Z, -3.162e-14,   8.967, on1
2015-01-01T05:00:00.000Z, -1.785e-14,   9.000, on1
2015-01-01T05:01:00.000Z, -2.468e-15,   9.033, on1
2015-01-01T05:02:00.000Z,  8.702e-15,   9.067, on1
2015-01-01T05:03:00.000Z,  1.320e-14,   9.100, on1
2015-01-01T05:04:00.000Z,  1.167e-14,   9.133, on1
2015-01-01T05:05:00.000Z,  6.625e-15,   9.167, on1
2015-01-01T05:06:00.000Z,  9.588e-16,   9.200, on1
2015-01-01T05:07:00.000Z, -3.173e-15,   9.233, on1
2015-01-01T05:08:00.000Z, -4.852e-15,   9.267, on1
2015-01-01T05:09:00.000Z, -4.307e-15,   9.300, on1
2015-01-01T05:10:00.000Z, -2.458e-15,   9.333, on1
2015-01-01T05:11:00.000Z, -3.718e-16,   9.367, on1
2015-01-01T05:12:00.000Z,  1.156e-15,   9.400, on1
2015-01-01T05:13:00.000Z,  1.782e-15,   9.433, on1
2015-01-01T05:14:00.000Z,  1.587e-15,   9.467, on1
2015-01-01T05:15:00.000Z,  9.100e-16,   9.500, on1
2015-01-01T05:16:00.000Z,  1.422e-16,   9.533, on1
2015-01-01T05:17:00.000Z, -4.214e-16,   9.567, on1
2015-01-01T05:18:00.000Z, -6.537e-16,   9.600, on1
2015-01-01T05:19:00.000Z, -5.833e-16,   9.633, on1
2015-01-01T05:20:00.000Z, -3.339e-16,   9.667, on1
2015-01-01T05:21:00.000Z, -5.029e-17,   9.700, on1
2015-01-01T05:22:00.000Z,  1.586e-16,   9.733, on1
2015-01-01T05:23:00.000Z,  2.452e-16,   9.767, on1
2015-01-01T05:24:00.000Z,  2.196e-16,   9.800, on1
2015-01-01T05:25:00.000Z,  1.272e-16,   9.833, on1
2015-01-01T05:26:00.000Z,  2.109e-17,   9.867, on1
2015-01-01T05:27:00.000Z, -5.830e-17,   9.900, on1
2015-01-01T05:28:00.000Z, -9.319e-17,   9.933, on1
2015-01-01T05:29:00.000Z, -8.695e-17,   9.967, on1
2015-01-01T05:30:00.000Z, -5.589e-17,  10.000, on1
2015-01-01T05:31:00.000Z, -1.926e-17,  10.033, on1
2015-01-01T05:32:00.000Z,  8.425e-18,  10.067, on1
2015-01-01T05:33:00.000Z,  2.092e-17,  10.100, on1
2015-01-01T05:34:00.000Z,  1.974e-17,  10.133, on1
2015-01-01T05:35:00.000Z,  1.105e-17,  10.167, on1
2015-01-01T05:36:00.000Z,  1.998e-18,  10.200, on1
2015-01-01T05:37:00.000Z, -2.196e-18,  10.233, on1
2015-01-01T05:38:00.000Z,  4.216e-19,  10.267, on1
2015-01-01T05:39:00.000Z,  8.726e-18,  10.300, on1
2015-01-01T05:40:00.000Z,  1.966e-17,  10.333, on1
2015-01-01T05:41:00.000Z,  2.963e-17,  10.367, on1
2015-01-01T05:42:00.000Z,  3.569e-17,  10.400, on1
2015-01-01T05:43:00.000Z,  3.610e-17,  10.433, on1
2015-01-01T05:44:00.000Z,  3.043e-17,  10.467, on1
2015-01-01T05:45:00.000Z,  1.922e-17,  10.500, on1
2015-01-01T05:46:00.000Z,  3.634e-18,  10.533, on1
2015-01-01T05:47:00.000Z, -1.486e-17,  10.567, on1
2015-01-01T05:48:00.000Z, -3.467e-17,  10.600, on1
2015-01-01T05:49:00.000Z, -5.403e-17,  10.633, on1
2015-01-01T05:50:00.000Z, -7.101e-17,  10.667, on1
2015-01-01T05:51:00.000Z, -8.346e-17,  10.700, on1
2015-01-01T05:52:00.000Z, -8.913e-17,  10.733, on1
2015-01-01T05:53:00.000Z, -8.586e-17,  10.767, on1
2015-01-01T05:54:00.000Z, -7.197e-17,  10.800, on1
2015-01-01T05:55:00.000Z, -4.659e-17,  10.833, on1
2015-01-01T05:56:00.000Z, -1.004e-17,  10.867, on1
2015-01-01T05:57:00.000Z,  3.589e-17,  10.900, on1
2015-01-01T05:58:00.000Z,  8.783e-17,  10.933, on1
2015-01-01T05:59:00.000Z,  1.409e-16,  10.967, on1
2015-01-01T06:00:00.000Z,  1.891e-16,  11.000, on1
2015-01-01T06:01:00.000Z,  2.255e-16,  11.033, on1
2015-01-01T06:02:00.000Z,  2.431e-16,  11.067, on1
2015-01-01T06:03:00.000Z,  2.359e-16,  11.100, on1
2015-01-01T06:04:00.000Z,  1.990e-16,  11.133, on1
2015-01-01T06:05:00.000Z,  1.305e-16,  11.167, on1
2015-01-01T06:06:00.000Z,  3.142e-17,  11.200, on1
2015-01-01T06:07:00.000Z, -9.320e-17,  11.233, on1
2015-01-01T06:08:00.000Z, -2.343e-16,  11.267, on1
2015-01-01T06:09:00.000Z, -3.787e-16,  11.300, on1
2015-01-01T06:10:00.000Z, -5.101e-16,  11.333, on1
2015-01-01T06:11:00.000Z, -6.102e-16,  11.367, on1
2015-01-01T06:12:00.000Z, -6.601e-16,  11.400, on1
2015-01-01T06:13:00.000Z, -6.430e-16,  11.433, on1
2015-01-01T06:14:00.000Z, -5.459e-16,  11.467, on1
2015-01-01T06:15:00.000Z, -3.629e-16,  11.500, on1
2015-01-01T06:16:00.000Z, -9.667e-17,  11.533, on1
2015-01-01T06:17:00.000Z,  2.397e-16,  11.567, on1
2015-01-01T06:18:00.000Z,  6.220e-16,  11.600, on1
2015-01-01T06:19:00.000Z,  1.015e-15,  11.633, on1
2015-01-01T06:20:00.000Z,  1.374e-15,  11.667, on1
2015-01-01T06:21:00.000Z,  1.650e-15,  11.700, on1
2015-01-01T06:22:00.000Z,  1.792e-15,  11.733, on1
2015-01-01T06:23:00.000Z,  1.753e-15,  11.767, on1
2015-01-01T06:24:00.000Z,  1.499e-15,  11.800, on1
2015-01-01T06:25:00.000Z,  1.010e-15,  11.833, on1
2015-01-01T06:26:00.000Z,  2.950e-16,  11.867, on1
2015-01-01T06:27:00.000Z, -6.129e-16,  11.900, on1
2015-01-01T06:28:00.000Z, -1.648e-15,  11.933, on1
2015-01-01T06:29:00.000Z, -2.717e-15,  11.967, on1
2015-01-01T06:30:00.000Z, -3.700e-15,  12.000, on1
2015-01-01T06:31:00.000Z, -4.462e-15,  12.033, on1
2015-01-01T06:32:00.000Z, -4.865e-15,  12.067, on1
2015-01-01T06:33:00.000Z, -4.781e-15,  12.100, on1
2015-01-01T06:34:00.000Z, -4.114e-15,  12.133, on1
2015-01-01T06:35:00.000Z, -2.814e-15,  12.167, on1
2015-01-01T06:36:00.000Z, -8.938e-16,  12.200, on1
2015-01-01T06:37:00.000Z,  1.555e-15,  12.233, on1
2015-01-01T06:38:00.000Z,  4.359e-15,  12.267, on1
2015-01-01T06:39:00.000Z,  7.265e-15,  12.300, on1
2015-01-01T06:40:00.000Z,  9.954e-15,  12.333, on1
2015-01-01T06:41:00.000Z,  1.206e-14,  12.367, on1
2015-01-01T06:42:00.000Z,  1.320e-14,  12.400, on1
2015-01-01T06:43:00.000Z,  1.304e-14,  12.433, on1
2015-01-01T06:44:00.000Z,  1.130e-14,  12.467, on1
2015-01-01T06:45:00.000Z,  7.839e-15,  12.500, on1
2015-01-01T06:46:00.000Z,  2.693e-15,  12.533, on1
2015-01-01T06:47:00.000Z, -3.905e-15,  12.567, on1
2015-01-01T06:48:00.000Z, -1.150e-14,  12.600, on1
2015-01-01T06:49:00.000Z, -1.940e-14,  12.633, on1
2015-01-01T06:50:00.000Z, -2.675e-14,  12.667, on1
2015-01-01T06:51:00.000Z, -3.257e-14,  12.700, on1
2015-01-01T06:52:00.000Z, -3.582e-14,  12.733, on1
2015-01-01T06:53:00.000Z, -3.555e-14,  12.767, on1
2015-01-01T06:54:00.000Z, -3.103e-14,  12.800, on1
2015-01-01T06:55:00.000Z, -2.185e-14,  12.833, on1
2015-01-01T06:56:00.000Z, -8.074e-15,  12.867, on1
2015-01-01T06:57:00.000Z,  9.694e-15,  12.900, on1
2015-01-01T06:58:00.000Z,  3.023e-14,  12.933, on1
2015-01-01T06:59:00.000Z,  5.172e-14,  12.967, on1
2015-01-01T07:00:00.000Z,  7.183e-14,  13.000, on1
