# Generated by Autoplot on Sun Apr 07 06:31:09 CDT 2019
 dep0(UTC), data
2017-10-28T00:06:59.417Z, 0.78648
2017-10-28T07:11:04.078Z, 0.79265
2017-10-28T14:15:08.738Z, 0.79874
2017-10-28T21:19:13.398Z, 0.80475
2017-10-29T04:23:18.058Z, 0.81068
2017-10-29T11:27:22.718Z, 0.81652
2017-10-29T18:31:27.379Z, 0.82229
2017-10-30T01:35:32.039Z, 0.82797
2017-10-30T08:39:36.699Z, 0.83357
2017-10-30T15:43:41.359Z, 0.83908
2017-10-30T22:47:46.019Z, 0.84451
2017-10-31T05:51:50.680Z, 0.84985
2017-10-31T12:55:55.340Z, 0.85511
2017-10-31T20:00:00.000Z, 0.86028
2017-11-01T03:04:04.660Z, 0.86536
2017-11-01T10:08:09.320Z, 0.87036
2017-11-01T17:12:13.981Z, 0.87527
2017-11-02T00:16:18.641Z, 0.88008
2017-11-02T07:20:23.301Z, 0.88482
2017-11-02T14:24:27.961Z, 0.88946
2017-11-02T21:28:32.621Z, 0.89401
2017-11-03T04:32:37.282Z, 0.89847
2017-11-03T11:36:41.942Z, 0.90284
2017-11-03T18:40:46.602Z, 0.90712
2017-11-04T01:44:51.262Z, 0.91130
2017-11-04T08:48:55.922Z, 0.91540
2017-11-04T15:53:00.583Z, 0.91940
2017-11-04T22:57:05.243Z, 0.92331
2017-11-05T06:01:09.903Z, 0.92712
2017-11-05T13:05:14.563Z, 0.93084
2017-11-05T20:09:19.223Z, 0.93447
2017-11-06T03:13:23.883Z, 0.93801
2017-11-06T10:17:28.544Z, 0.94144
2017-11-06T17:21:33.204Z, 0.94479
2017-11-07T00:25:37.864Z, 0.94803
2017-11-07T07:29:42.524Z, 0.95119
2017-11-07T14:33:47.184Z, 0.95424
2017-11-07T21:37:51.845Z, 0.95720
2017-11-08T04:41:56.505Z, 0.96006
2017-11-08T11:46:01.165Z, 0.96283
2017-11-08T18:50:05.825Z, 0.96550
2017-11-09T01:54:10.485Z, 0.96807
2017-11-09T08:58:15.146Z, 0.97054
2017-11-09T16:02:19.806Z, 0.97291
2017-11-09T23:06:24.466Z, 0.97519
2017-11-10T06:10:29.126Z, 0.97736
2017-11-10T13:14:33.786Z, 0.97944
2017-11-10T20:18:38.447Z, 0.98142
2017-11-11T03:22:43.107Z, 0.98330
2017-11-11T10:26:47.767Z, 0.98508
2017-11-11T17:30:52.427Z, 0.98676
2017-11-12T00:34:57.087Z, 0.98834
2017-11-12T07:39:01.748Z, 0.98982
2017-11-12T14:43:06.408Z, 0.99121
2017-11-12T21:47:11.068Z, 0.99249
2017-11-13T04:51:15.728Z, 0.99367
2017-11-13T11:55:20.388Z, 0.99475
2017-11-13T18:59:25.049Z, 0.99573
2017-11-14T02:03:29.709Z, 0.99660
2017-11-14T09:07:34.369Z, 0.99738
2017-11-14T16:11:39.029Z, 0.99806
2017-11-14T23:15:43.689Z, 0.99863
2017-11-15T06:19:48.350Z, 0.99911
2017-11-15T13:23:53.010Z, 0.99948
2017-11-15T20:27:57.670Z, 0.99976
2017-11-16T03:32:02.330Z, 0.99993
2017-11-16T10:36:06.990Z, 1.0000
2017-11-16T17:40:11.650Z, 0.99997
2017-11-17T00:44:16.311Z, 0.99984
2017-11-17T07:48:20.971Z, 0.99960
2017-11-17T14:52:25.631Z, 0.99927
2017-11-17T21:56:30.291Z, 0.99883
2017-11-18T05:00:34.951Z, 0.99830
2017-11-18T12:04:39.612Z, 0.99766
2017-11-18T19:08:44.272Z, 0.99692
2017-11-19T02:12:48.932Z, 0.99608
2017-11-19T09:16:53.592Z, 0.99515
2017-11-19T16:20:58.252Z, 0.99411
2017-11-19T23:25:02.913Z, 0.99296
2017-11-20T06:29:07.573Z, 0.99172
2017-11-20T13:33:12.233Z, 0.99038
2017-11-20T20:37:16.893Z, 0.98894
2017-11-21T03:41:21.553Z, 0.98740
2017-11-21T10:45:26.214Z, 0.98576
2017-11-21T17:49:30.874Z, 0.98402
2017-11-22T00:53:35.534Z, 0.98218
2017-11-22T07:57:40.194Z, 0.98024
2017-11-22T15:01:44.854Z, 0.97820
2017-11-22T22:05:49.515Z, 0.97606
2017-11-23T05:09:54.175Z, 0.97382
2017-11-23T12:13:58.835Z, 0.97149
2017-11-23T19:18:03.495Z, 0.96906
2017-11-24T02:22:08.155Z, 0.96652
2017-11-24T09:26:12.816Z, 0.96389
2017-11-24T16:30:17.476Z, 0.96117
2017-11-24T23:34:22.136Z, 0.95834
2017-11-25T06:38:26.796Z, 0.95542
2017-11-25T13:42:31.456Z, 0.95241
2017-11-25T20:46:36.117Z, 0.94929
2017-11-26T03:50:40.777Z, 0.94608
2017-11-26T10:54:45.437Z, 0.94278
2017-11-26T17:58:50.097Z, 0.93938
2017-11-27T01:02:54.757Z, 0.93588
2017-11-27T08:06:59.417Z, 0.93229
2017-11-27T15:11:04.078Z, 0.92861
2017-11-27T22:15:08.738Z, 0.92483
2017-11-28T05:19:13.398Z, 0.92096
2017-11-28T12:23:18.058Z, 0.91699
2017-11-28T19:27:22.718Z, 0.91293
2017-11-29T02:31:27.379Z, 0.90878
2017-11-29T09:35:32.039Z, 0.90454
2017-11-29T16:39:36.699Z, 0.90021
2017-11-29T23:43:41.359Z, 0.89578
2017-11-30T06:47:46.019Z, 0.89127
2017-11-30T13:51:50.680Z, 0.88666
2017-11-30T20:55:55.340Z, 0.88197
2017-12-01T04:00:00.000Z, 0.87718
2017-12-01T11:04:04.660Z, 0.87231
2017-12-01T18:08:09.320Z, 0.86735
2017-12-02T01:12:13.981Z, 0.86230
2017-12-02T08:16:18.641Z, 0.85716
2017-12-02T15:20:23.301Z, 0.85194
2017-12-02T22:24:27.961Z, 0.84663
2017-12-03T05:28:32.621Z, 0.84124
2017-12-03T12:32:37.282Z, 0.83576
2017-12-03T19:36:41.942Z, 0.83019
2017-12-04T02:40:46.602Z, 0.82455
2017-12-04T09:44:51.262Z, 0.81881
2017-12-04T16:48:55.922Z, 0.81300
2017-12-04T23:53:00.583Z, 0.80710
2017-12-05T06:57:05.243Z, 0.80112
2017-12-05T14:01:09.903Z, 0.79507
2017-12-05T21:05:14.563Z, 0.78893
2017-12-06T04:09:19.223Z, 0.78271
2017-12-06T11:13:23.883Z, 0.77641
2017-12-06T18:17:28.544Z, 0.77003
2017-12-07T01:21:33.204Z, 0.76358
2017-12-07T08:25:37.864Z, 0.75704
2017-12-07T15:29:42.524Z, 0.75044
2017-12-07T22:33:47.184Z, 0.74375
2017-12-08T05:37:51.845Z, 0.73699
2017-12-08T12:41:56.505Z, 0.73016
2017-12-08T19:46:01.165Z, 0.72325
2017-12-09T02:50:05.825Z, 0.71627
2017-12-09T09:54:10.485Z, 0.70921
2017-12-09T16:58:15.146Z, 0.70209
2017-12-10T00:02:19.806Z, 0.69489
2017-12-10T07:06:24.466Z, 0.68762
2017-12-10T14:10:29.126Z, 0.68029
2017-12-10T21:14:33.786Z, 0.67288
2017-12-11T04:18:38.447Z, 0.66541
2017-12-11T11:22:43.107Z, 0.65787
2017-12-11T18:26:47.767Z, 0.65026
2017-12-12T01:30:52.427Z, 0.64259
2017-12-12T08:34:57.087Z, 0.63485
2017-12-12T15:39:01.748Z, 0.62705
2017-12-12T22:43:06.408Z, 0.61919
2017-12-13T05:47:11.068Z, 0.61126
2017-12-13T12:51:15.728Z, 0.60327
2017-12-13T19:55:20.388Z, 0.59522
2017-12-14T02:59:25.049Z, 0.58711
2017-12-14T10:03:29.709Z, 0.57894
2017-12-14T17:07:34.369Z, 0.57071
2017-12-15T00:11:39.029Z, 0.56242
2017-12-15T07:15:43.689Z, 0.55408
2017-12-15T14:19:48.350Z, 0.54568
2017-12-15T21:23:53.010Z, 0.53722
2017-12-16T04:27:57.670Z, 0.52871
2017-12-16T11:32:02.330Z, 0.52015
2017-12-16T18:36:06.990Z, 0.51154
2017-12-17T01:40:11.650Z, 0.50287
2017-12-17T08:44:16.311Z, 0.49415
2017-12-17T15:48:20.971Z, 0.48538
2017-12-17T22:52:25.631Z, 0.47657
2017-12-18T05:56:30.291Z, 0.46770
2017-12-18T13:00:34.951Z, 0.45879
2017-12-18T20:04:39.612Z, 0.44983
2017-12-19T03:08:44.272Z, 0.44083
2017-12-19T10:12:48.932Z, 0.43178
2017-12-19T17:16:53.592Z, 0.42269
2017-12-20T00:20:58.252Z, 0.41355
2017-12-20T07:25:02.913Z, 0.40437
2017-12-20T14:29:07.573Z, 0.39516
2017-12-20T21:33:12.233Z, 0.38590
2017-12-21T04:37:16.893Z, 0.37660
2017-12-21T11:41:21.553Z, 0.36727
2017-12-21T18:45:26.214Z, 0.35789
2017-12-22T01:49:30.874Z, 0.34849
2017-12-22T08:53:35.534Z, 0.33904
2017-12-22T15:57:40.194Z, 0.32956
2017-12-22T23:01:44.854Z, 0.32005
2017-12-23T06:05:49.515Z, 0.31051
2017-12-23T13:09:54.175Z, 0.30093
2017-12-23T20:13:58.835Z, 0.29133
2017-12-24T03:18:03.495Z, 0.28169
2017-12-24T10:22:08.155Z, 0.27203
2017-12-24T17:26:12.816Z, 0.26234
2017-12-25T00:30:17.476Z, 0.25262
2017-12-25T07:34:22.136Z, 0.24288
2017-12-25T14:38:26.796Z, 0.23311
2017-12-25T21:42:31.456Z, 0.22332
2017-12-26T04:46:36.117Z, 0.21351
2017-12-26T11:50:40.777Z, 0.20367
2017-12-26T18:54:45.437Z, 0.19382
2017-12-27T01:58:50.097Z, 0.18394
2017-12-27T09:02:54.757Z, 0.17405
2017-12-27T16:06:59.417Z, 0.16414
2017-12-27T23:11:04.078Z, 0.15421
2017-12-28T06:15:08.738Z, 0.14426
2017-12-28T13:19:13.398Z, 0.13431
2017-12-28T20:23:18.058Z, 0.12433
2017-12-29T03:27:22.718Z, 0.11435
2017-12-29T10:31:27.379Z, 0.10435
2017-12-29T17:35:32.039Z, 0.094346
2017-12-30T00:39:36.699Z, 0.084330
2017-12-30T07:43:41.359Z, 0.074305
2017-12-30T14:47:46.019Z, 0.064273
2017-12-30T21:51:50.680Z, 0.054234
2017-12-31T04:55:55.340Z, 0.044190
2017-12-31T12:00:00.000Z, 0.034141
